iter	Passed	Remaining
0	1	152
1	2	130
2	3	123
3	4	112
4	5	111
5	7	111
6	8	112
7	9	112
8	11	111
9	12	109
10	13	106
11	14	105
12	15	104
13	16	101
14	17	100
15	18	98
16	19	97
17	21	95
18	22	94
19	23	93
20	24	93
21	25	91
22	26	89
23	27	88
24	29	87
25	30	85
26	31	84
27	32	82
28	33	81
29	34	80
30	35	78
31	36	77
32	37	76
33	38	75
34	40	74
35	41	73
36	42	72
37	43	71
38	45	70
39	46	69
40	47	68
41	47	66
42	49	65
43	50	64
44	51	63
45	52	61
46	53	60
47	55	59
48	56	58
49	57	57
50	58	56
51	59	54
52	60	53
53	61	52
54	62	51
55	63	49
56	64	48
57	66	47
58	67	46
59	68	45
60	69	44
61	70	43
62	72	42
63	73	41
64	74	39
65	75	38
66	76	37
67	77	36
68	78	35
69	79	34
70	81	33
71	82	32
72	83	30
73	84	29
74	86	28
75	87	27
76	88	26
77	89	25
78	90	24
79	91	22
80	93	21
81	94	20
82	95	19
83	96	18
84	98	17
85	99	16
86	101	15
87	102	14
88	104	12
89	105	11
90	106	10
91	108	9
92	109	8
93	111	7
94	112	5
95	114	4
96	115	3
97	116	2
98	117	1
99	119	0
